제목,날짜,분류,본문,반응수
"이종섭 장관, 우즈베키스탄 군사아카데미 방문",20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 타슈켄트에 위치한 군사아카데미를 방문해 바코디르 쿠르바노프 우즈베키스탄 국방부 장관과 기념촬영을 하고 있다.  2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
우즈베키스탄 의장대 사열하는 이종섭 장관,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 국방부 청사에서 '한-우즈베키스탄 국방장관회담' 개최를 앞두고 바코디르 쿠르바노프 우즈베키스탄 국방부 장관과 의장대를 사열하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
NSC 사무총장과 회담하는 이종섭 장관,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 타슈켄트 힐튼호텔에서 빅토르 마흐무도프 국가안전보장회의(NSC) 사무총장과 회담을 하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
한-우즈베키스탄 국방장관회담,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 국방부 청사에서 열린 '한-우즈베키스탄 국방장관회담'에서 바코디르 쿠르바노프 우즈베키스탄 국방부 장관과 회담을 하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
우즈베키스탄 의장대 사열하는 이종섭 장관,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 국방부 청사에서 '한-우즈베키스탄 국방장관회담' 개최를 앞두고 바코디르 쿠르바노프 우즈베키스탄 국방부 장관과 의장대를 사열하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
NSC 사무총장과 대화하는 이종섭 장관,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 타슈켄트 힐튼호텔에서 빅토르 마흐무도프 국가안전보장회의(NSC) 사무총장과 회담장에 입장하며 대화하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
NSC 사무총장과 회담하는 이종섭 장관,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 타슈켄트 힐튼호텔에서 빅토르 마흐무도프 국가안전보장회의(NSC) 사무총장과 회담을 하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
베를린 공원서 남친앞 20대여성 집단성폭행한 용의자 2명 체포,20230801,세계,독일의 수도 베를린 시내 공원에서 남자친구 앞에서 20대 여성을 집단 성폭행한 용의자 2명이 체포됐다.    독일 베를린 지방경찰은 지난달 31일(현지시간) 베를린 시내 괴를리처 공원 인근에서 기니 출신 22세 남성을 용의자로 체포해 구금했다고 밝혔다고 독일 타게스슈피겔이 1일 전했다.     앞서 경찰은 지난주 소말리아 출신 22세 남성을 첫 용의자로 체포해 구금한 바 있다.    지난 6월 21일 새벽 독일 베를린 시내 괴를리처 공원에서는 27세 여성이 마약 밀매업자들에게 집단 성폭행을 당했다.    범인들은 동갑내기 남자친구를 폭행해 쓰러뜨린 뒤 남자친구가 보는 앞에서 해당 여성을 성폭행했다. 이들은 앞서 두 연인을 습격해 귀중품을 빼앗았다.    올해 들어 괴를리처 공원에서는 8건의 성폭행 범죄를 비롯해 21건의 성범죄가 발생했다. 이 일대는 범죄가 빈발하는 7곳 중 한 곳이라고 베를린 경찰은 설명했다.    독일 베를린 괴를리처 공원[EPA 연합뉴스 자료사진. 재판매 및 DB 금지],10
킥보드 운전자 숨지게 한 50대 뺑소니범 붙잡혀…음주 정황도,20230801,사회,"울산경찰청[연합뉴스 자료사진]  음주운전을 하다가 전동킥보드를 몰던 대리운전 기사를 치어 숨지게 한 혐의를 받는 50대가 경찰에 붙잡혔다.    울산경찰청은 특정범죄가중처벌법상 도주치사, 도로교통법상 음주운전 등 혐의로 50대 여성 운전자 A씨를 검거했다고 1일 밝혔다.    A씨는 지난달 28일 오전 1시 30분께 울산 남구 번영교에서 술을 마신 채 승용차를 운전하다가 전동킥보드를 몰던 60대 남성 대리기사 B씨를 치고 달아난 혐의를 받는다.    B씨는 의식이 없는 채로 발견돼 인근 병원으로 옮겨졌지만, 치료 중 숨졌다.    킥보드를 타던 사람이 차에 치인 것 같다는 신고를 받고 출동해 현장 조사를 하던 경찰은 사고 약 30분 뒤 차량 앞 유리 등이 파손된 채 나타난 A씨 차량을 발견했다.    경찰은 도주하던 A씨를 추격 끝에 붙잡아 긴급체포했다.    술을 마신 정황을 포착한 경찰이 음주 측정을 요구했으나 A씨가 거부한 것으로 전해졌다.    경찰은 A씨 혈액을 채혈해 국립과학수사연구원에 분석을 의뢰했다.",8
"WHO ""각국 금연정책 강화…세계인구 70% 이상 영향""",20230801,세계,"금연시책 영향받는 인구 15년 만에 10억명→56억명    세계보건기구(WHO) 본부 청사[연합뉴스 자료 사진]  각국이 광고 규제나 공공장소 금연 등 담배소비를 억제하는 정책을 속속 도입하면서 전 세계 인구 70% 이상이 금연정책의 영향권에 들어섰다고 세계보건기구(WHO)가 전했다.    1일(현지시간) WHO의 금연정책 현황 보고서에 따르면 작년 기준으로 1개 이상의 금연정책이 적용되는 세계 인구는 56억명에 달한다.     이는 전 세계 인구의 71%로, 2007년 당시 금연정책 영향권 내 인구수인 10억명(당시 세계 인구 중 15%)보다 5배 넘게 늘었다.    WHO는 세계 흡연율을 떨어뜨리기 위해 2008년부터 금연정책의 6가지 골자를 담은 'MPOWER' 프로그램을 도입해 각국 정부에 도입을 권고했다.   'MPOWER' 프로그램은 ▲흡연 상황 모니터(Monitor) ▲담배 연기로부터 보호(Protect) ▲금연 지원(Offer help) ▲ 담배 위험 경고(Warn) ▲광고 등 규제(Enforce bans) ▲세금 인상(Raise Taxes) 등이다.    보고서는 ""현재 전 세계 40% 가까운 국가에서 실내 공공장소를 완전한 금연 구역으로 지정하는 등 금연정책을 시행하는 나라들이 지속해서 늘고 있다""며 ""점점 더 많은 사람이 담배의 해악으로부터 보호받고 있음을 보여준다""고 설명했다.    보고서는 6가지 권고 사항 모두를 모범적으로 수행 중인 국가는 브라질과 튀르키예, 네덜란드, 동아프리카 국가인 모리셔스 등 4개국에 그친다고 전했다.    에티오피아와 이란, 아일랜드, 요르단, 마다가스카르, 멕시코, 뉴질랜드, 스페인 등 8개국은 1가지 사항만 더 모범 평가를 받으면 모든 권고를 잘 이행하는 나라가 된다고 보고서는 부연했다.    보고서는 ""아직 해야 할 일이 많다""면서 ""44개국은 권고 사항 가운데 한 가지도 도입하지 않고 있으며 53개국은 의료시설 내 전면 금연 조치가 시행되지 않고 있다""고 지적했다.    WHO 건강증진 분야 책임자인 루디거 크레히 박사는 ""전 세계적으로 연간 870만명의 목숨을 앗아가는 담배와 싸우기를 각국에 촉구한다""고 말했다.",1
역전 2루타 날리고 기뻐하는 최원준,20230801,스포츠,1일 포항야구장에서 열린 2023 KBO리그 프로야구 KI 타이거즈와 삼성 라이온즈의 경기. 7회 KIA 최원준이 역전 2루타를 날리고 기뻐하고 있다. 2023.8.1 [KIA 타이거즈 제공. 재판매 및 DB 금지]     photo@yna.co.kr 기사제공 연합뉴스 장현구,8
"중국·몽골, 2조7천억원 규모 통화 스와프 3년 연장",20230801,세계,"중국 인민은행[연합뉴스 자료사진]  중국과 몽골 사이의 통화 스와프 협정이 갱신됐다고 중국 관영통신 신화사 등 중국 매체들이 1일 보도했다.    보도에 따르면 중국 인민은행은 몽골은행과 150억 위안(약 2조 7천억원) 규모의 양자 통화 스와프 협정을 3년 연장했다고 밝혔다.    통화 스와프는 외환 위기 등 비상시에 상대국에 자국 통화를 맡기고 상대측 통화나 달러를 받도록 하는 계약이다.    중국 인민은행은 ""중국과 몽골의 통화 스와프 재연장은 양국의 금융 협력을 심화하고 양측간 경제·무역 거래를 촉진하며 금융시장의 안정을 유지하는 데 도움이 될 것""이라고 밝혔다.",0
"박진 장관, 교황청 국무원장 예방",20230801,정치,박진 외교부 장관이 1일(현지시간) 바티칸 교황청을 공식 방문해 파롤린 교황청 국무원장을 예방하고 있다. 2023.8.1 [외교부 제공. 재판매 및 DB 금지],0
교황청 외교장관 만난 박진 외교부 장관,20230801,정치,박진 외교부 장관이 1일(현지시간) 바티칸 교황청을 공식 방문해 폴 리처드 갤러거 교황청 외교장관과 만나 면담하고 있다. 2023.8.1 [외교부 제공. 재판매 및 DB 금지],0
"박진, 5년만에 교황청 공식 방문…국무원장·외교장관 만나",20230801,정치,"北 문제 관련 교황청의 지지 강화…한-교황청 우호협력 관계 증진    박진 외교장관, 파롤린 교황청 국무원장 예방[외교부 제공. 재판매 및 DB 금지]      박진 외교부 장관이 한-교황청 수교 60주년을 맞아 1일(현지시간) 바티칸 교황청을 공식 방문해 교황청 국무원장·외교장관을 차례로 만났다.    외교부에 따르면 박 장관은 이날 교황청 2인자인 피에트로 파롤린 국무원장을 예방하고 수교 60주년 기념사업을 설명한 뒤 이에 대한 교황청의 관심과 협조를 요청했다.    주교황청 한국 대사관과 한국 가톨릭 단체는 수교 60주년을 맞아 성 베드로 대성당 외벽에 성 김대건 신부 조각상 설치, 한-교황청 관계사 발굴사업 결과 공유 심포지엄, 수교 60주년 기념 특별미사 및 리셉션 등 다양한 행사를 준비 중이다.    박 장관은 한반도 평화를 위한 프란치스코 교황의 관심에 사의를 표하고, 윤석열 정부의 대북 정책 기조인 '담대한 구상'과 북한의 잇따른 도발, 참혹한 인권 상황을 설명하면서 교황청의 지지를 요청했다.    이에 파롤린 추기경은 교황청으로서도 북한 문제 개선을 위해 가능한 기여와 노력을 다할 것이라고 말했다고 외교부는 전했다.    박진 외교부 장관과 폴 리처드 갤러거 교황청 외교장관[외교부 제공. 재판매 및 DB 금지]    박 장관은 이어 폴 리처드 갤러거 교황청 외교장관과 회담하고 올해 수교 60주년을 맞아 양자 간 우호 협력 관계를 더욱 증진해 나가기로 했다.     박 장관은 또한 2027 가톨릭 세계청년대회가 한국에서 유치될 수 있도록 교황청이 긍정적으로 검토해달라고 요청했다.    서울대교구가 국내 유치를 추진 중인 2027 가톨릭 세계청년대회는 1∼6일 포르투갈 리스본에서 열리는 올해 세계청년대회 폐막식에서 개최지가 발표될 예정이다.    갤러거 장관은 한반도 평화 구축을 위한 우리 정부의 노력을 평가하고 윤석열 대통령의 '담대한 구상'을 지지하며 우리 정부의 노력에 교황청도 지속 협력할 것이라고 말했다.     두 장관은 지역 정세 및 난민, 기후변화, 우크라이나 전쟁 등 글로벌 이슈에 대해서도 폭넓은 의견을 나눴다.     박 장관은 교황청 방문 이후 교황청 성직자부 장관인 유흥식 추기경과 오찬 면담을 했다.     박 장관은 유 추기경에게 한국인 최초의 교황청 장관으로서 한국인 전체의 자긍심을 높여준 것에 감사를 표하고 한-교황청 관계 강화와 발전을 위해 지속 노력해 달라고 당부했다.    박 장관의 교황청 방문은 한-교황청 수교 60주년을 맞아 한국 외교장관으로서 5년 만에 성사된 공식 방문이다.",1
"北외무성 ""日군비증강 야망 추구, 제2의 패망 불러오는 선택""",20230801,정치,"2023 방위백서 비난…""주변국과 우호관계가 안보 방도"" 언급도    일본 방위백서 2023년 판 표지 디자인  일본 방위성이 28일 발표한 2023년 판 방위백서 표지. 2023.7.28 sungjinpark@yna.co.kr      북한은 1일 일본이 올해 방위백서에서 '주변위협'을 내세워 군사대국화를 정당화했다며 군비 증강은 자멸적 선택이 될 것이라고 위협했다.     북한 외무성은 '김설화 일본연구소 연구원' 명의의 '흑백이 전도된 일본의 방위백서'라는 글에서 ""과거 식민지 지배에 대한 성근한(성실한) 사죄와 배상이 없이 주변나라들을 구실로 군비 증강의 야망을 추구하는 것은 제2의 패망을 불러오는 자멸적인 선택이다""라고 밝혔다고 조선중앙통신이 보도했다.     외무성은 일본이 방위백서에서 '주변 위협'을 구실로 '군사대국화'를 정당화했다면서 ""(주변 위협은) 철두철미 저들의 군사대국화 책동을 은폐하기 위한 연막 외에 그 이상도 이하도 아니""라고 주장했다.     이어 지역의 평화와 안정을 파괴하는 원흉은 ""미국과 그에 추종하는 세력들""이라며 ""여기서 단단히 한몫하는 일본이 '주변위협설'을 고창하는(외치는) 것은 저들에게 쏠리는 국제사회의 비난의 화살을 남에게 전가함으로써 흑백을 전도하려는 일본 특유의 간계에 지나지 않는다""고 덧붙였다.     외무성은 그러면서도 ""일본에 있어서 제일 좋은 안전보장 방도는 주변나라들과 불미스러운 과거를 청산하고 우호적인 관계를 맺는 것""이라며 양국 관계 개선 여지도 열어뒀다.    이어 ""일본은 패망의 역사에서 응당한 교훈을 찾고 위험천만한 도박을 당장 그만두어야 한다""고 강조했다.     앞서 일본 정부는 지난달 28일 기시다 후미오 총리 주재로 열린 각의(국무회의)에서 2023년도 방위백서를 채택했다.     일본은 방위백서에서 북한과 중국, 러시아 등 주변국에 의한 안보 우려를 강조하며 국민의 생명과 일상을 지켜내기 위해 방위력을 강화하는 것이 필요하다고 밝혔다.",3
